Fhat
samples,NPY_NRG3,ADAD1_CHTF8_HERC2_IL11RA_SF3B1_SHROOM1,AMTN_APBB2_BPIL2_MTUS1_PLEKHG5_SPTAN1,FAT3
a,0,0.9368,0,0.088606
b,0,0.97923,0,0.064449
c,0.421421,0.641441,0.46884,0.565173
d,0.868489,0.903562,0.878489,0.903562
e,0.913405,0.964369,0.964369,0.964369

U
samples,NPY_NRG3,ADAD1_CHTF8_HERC2_IL11RA_SF3B1_SHROOM1,AMTN_APBB2_BPIL2_MTUS1_PLEKHG5_SPTAN1,FAT3
a,0,0.848194,0,0.088606
b,0,0.914781,0,0.064449
c,0.421421,0.076268,0.047419,0.096333
d,0.868489,0,0.01,0.025073
e,0.913405,0,0.050964,0
